지식기술번호,지식기술명
1685,"증강현실 콘텐츠에서 활용될 수 있는 메뉴 디자인, 카메라 인식 이미지, 동영상과 관련된 그래픽을 제작할 수 있는 기술"
1686,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 2D 그래픽을 디자인, 제작, 검증하는 능력"
1687,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 3D 그래픽 디자인, 제작, 검증하는 능력"
1688,360도 실사 촬영을 통해 가상현실을 구현하는 제작 능력
1689,MR 기반의 다중사용자간에 공간을 공유하기 위하여 공간을 인식하고 앵커를 생성하는 기술에 대해서 습득
1690,"MR 기반의 다중사용자간에 공간을 공유하기 위하여 생성된 앵커를 사용자간에 공유하기 위한 방법과, 위치를 정합하기 위한 기술에 대해서 습득함"
1691,"실제 물리공간안에 있는 2D, 3D 객체를 인식하여 가상 좌표계를 설정하고 가상 객체를 이미지 및 공간에 배치하여 정합할 수 있는 기술"
1692,"증강 이벤트의 구현에 필요한 대상 오브젝트를 디지털로 변환하기 위해 오브젝트를 선정하고, 촬영ㆍ스캔을 종합적으로 수행하는 능력"
1693,"증강현실 오브젝트, 그래픽 및 인식 정합 기술을 활용하여 증강현실 콘텐츠를 프로그래밍 할 수 있는 기술"
1694,"증강현실 콘텐츠 이용자에게 몰입감을 제공하기 위해 실제 물리적 공간 또는 물리적 공간내의 객체를 인식하고 그 위에 가상의 2Dㆍ3D 이미지, 영상의 합성을 통해 3차원 공간에 가상물체가 이질감 없이 부드럽게 일치하도록 정합하는 능력"
1695,증강현실 콘텐츠에 활용될 수 있는 오브젝트를 생성하기 위하여 촬영 및 스캔하여 증강현실 시스템 활용에 최적화 된 오브젝트를 제작할 수 기술
1696,"증강현실 콘텐츠에서 주로 활용되는 마커, 이미지, 제스쳐 인식 방법과 이를 구현하기 위한 다양한 라이브러리와 개발 방법에 대해서 이해하고 기능별 구현 기술을 습득"
1697,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1698,"증강현실 콘텐츠에 필요한 기능을 설계하고 증강현실 구현에 필요한 오브젝트 관련 기능, 2Dㆍ3D 인식ㆍ정합 기능을 통합ㆍ개발하여 증강현실 콘텐츠를 구현하는 능력"
1699,"가상현실 사용자 경험을 제공하는 콘텐츠를 제작하는데 필요한 알고리즘을 개발하고, 사용자와 상호작용할 수 있는 시청각 요소 처리와 인공지능을 구현하며, 이러한 요소들이 최종 플랫폼에서 기획에 맞는 UX를 제공할 수 있도록 각 요소들을 종합하여 프로그래밍으로 구현하는 능력"
1700,가상현실 시스템 개발에 필요한 개발 SDK 및 API 활용 능력
1701,가상현실에 다양한 기능을 추가하기 위한 유용한 API의 종류와 활용 방법에 대해서 습득
1702,"가상현실의 객제, 배경, 이벤트 등 전반적인 콘텐츠를 설계, 프로그래밍하고 외부 API와 네트워크, 데이터 연동 및 멀티플랫폼으로 확장하여 가상현실 콘텐츠를 구현하는 능력"
1703,"기획된 콘텐츠에서 사용되는 사용자 인터페이스, 인공지능 알고리즘 개발 및 시나리오에 따른 응용 프로세스를 개발 할 수 있는 기술"
1704,VR 공간의 사용자가 음성 대화를 수행하는 경우 아바타의 입모양을 움직여서 실감 있는 모습을 구현할 수 있는 기능을 개발함. 추가로 대화의 내용에 따라서 아바타 얼굴의 표정을 같이 제어할 수 있는 기능을 개발
1705,VR 기반의 가상공간에서 다중사용자간 아바타가 음성을 상호 공유하고 대화할 수 있는 기능을 개발
1706,"ARVR 기반의 다중사용자 접속 기반 서비스를 구축하기 위하여 가상 공간에 2명 이상의 사용자가 이동하거나, 가상 객체를 조작하는 것과 같은 이벤트 정보를 동기화 할 수 있는 네트워크 기능에 대한 이해와 기술을 습득"
1707,"ARVR 기반의 다중사용자 접속 기반 서비스를 구축하기 위하여 가상 공간에 2명 이상의 사용자가 접속하여 존재하고 공유할 수 있는 네트워크 기능에 대한 이해와 기술을 습득함 (예, 포톤 클라우드)"
1708,네트워크 모듈개발 또는 엔진을 활용한 네트워크 기반 증강현실 프로그램 개발 및 서버 구축을 할 수 있는 기술
1709,"네트워크를 통한 가상현실 콘텐츠 제작을 위한 통신 모듈을 개발하고, 서버-클라이언트 시스템을 구축할 수 있는 기술"
1710,증강현실 콘텐츠 전송 네트워크 서비스를 제공하기 위하여 서비스 시스템을 구성하고 일반적인 네트워크 프로그래밍·네트워크 서버엔진을 활용한 증강현실에 사용되는 네트워크 시스템을 구축 하는 능력
1711,"VR 기반의 가상공간에서 다중사용자간 아바타가 이미지, 문서, 동영상 데이터를 상호 공유하고 동기화하여 표시할 수 있는 기능을 개발"
1712,포톤을 비롯하여 가상현실 콘텐츠에서 주로 활용되는 네트워크 기능 구현 방법에 대해서 습득
1713,"증강현실 콘텐츠, 공간 정보 및 관계 데이터를 저장 및 관리할 수 있도록 데이터베이스 구축 및 시스템 설계, 운영할 수 있는 지식"
1714,"증강현실 콘텐츠의 내부에서 관리하는 데이터와 외부에서 주고 받는 데이터를 구분 정의하고, 해당 데이터의 흐름을 지원하기 위한 다양한 API와 프로토콜을 이해하고 구현하는 기술을 습득"
1715,"콘텐츠 제공에 필요한 절차인 디지털 저장과 보존, 저작권 관리, 콘텐츠를 배포하는 업무 수행을 통하여 콘텐츠 소비자가 가상현실 콘텐츠를 감상하거나 활용하게 하는 능력"
1716,"콘텐츠의 특성을 파악하여 데이터베이스 구축, 데이터베이스 인터페이스 관리, 오브젝트 데이터 관리를 수행하는 능력"
1717,가상현실 콘텐츠 시스템 방향 설정 및 기능 도출 능력
1718,"가상현실의 공간 및 아바타와 3D 객체의 배치 및 인터랙션과 활용하고자 하는 디바이스 특징을 고려하고, 콘텐츠의 목적과 내용을 기획하는 능력"
1719,"이용자 환경과 하드웨어, 개발 소프트웨어를 목적에 맞게 사용하여 콘텐츠 발굴과 스토리보드 작성, 콘텐츠 개발을 하기 위한 증강현실 콘텐츠 전반의 과정에 대해 기획하는 능력"
1720,가상현실 콘텐츠에서 활용하려고 하는 추가의 기능 및 라이브러리등의 시스템적 구성에 대해서 콘텐츠 목적에 맞도록 기획하고 설계하는 능력
1721,"3D 기하학적 모델을 제작하고 텍츠쳐 맵 이미지를 제작하고 UV맵핑하여 3D 모델 생성하며 인간, 동물형 모델일 경우 움직임을 고려한 스켈레톤을 리깅할 수 있는 기술"
1722,"가상현실 콘텐츠에 활용되는 캐릭터 및 배경 원화 제작, 모델에 사용되는 캐릭터의 이미지 제작, UI 인터페이스 이미지 및 메뉴 디자인을 제작할 수 있는 기술"
1723,"가상현실 콘텐츠에서 사용할 수 있는 배경음향 및 효과음을 녹음, 제작 및 마스터링하고, 방향성을 갖는 음향효과를 제작할 수 있는 기술"
1724,"가상현실 촬영을 위한 기획안을 작성하고, 가상현실 카메라를 선정하여 촬영하고, 촬영된 가상현실 영상을 스티칭하여 360 영상을 제작하는 기술"
1725,"3D 기하학적 모델을 제작하고 텍츠쳐 맵 이미지를 제작하고 UV맵핑하여 3D 모델 생성하며 인간, 동물형 모델일 경우 움직임을 고려한 스켈레톤을 리깅할 수 있는 기술"
1726,가상현실에 다양한 기능을 추가하기 위한 유용한 API의 종류와 활용 방법에 대해서 습득
1727,"가상현실의 객제, 배경, 이벤트 등 전반적인 콘텐츠를 설계, 프로그래밍하고 외부 API와 네트워크, 데이터 연동 및 멀티플랫폼으로 확장하여 가상현실 콘텐츠를 구현하는 능력"
1728,"가상현실 사용자 경험을 제공하는 콘텐츠를 제작하는데 필요한 알고리즘을 개발하고, 사용자와 상호작용할 수 있는 시청각 요소 처리와 인공지능을 구현하며, 이러한 요소들이 최종 플랫폼에서 기획에 맞는 UX를 제공할 수 있도록 각 요소들을 종합하여 프로그래밍으로 구현하는 능력"
1729,가상현실 시스템 개발에 필요한 개발 SDK 및 API 활용 능력
1730,"기획된 콘텐츠에서 사용되는 사용자 인터페이스, 인공지능 알고리즘 개발 및 시나리오에 따른 응용 프로세스를 개발 할 수 있는 기술"
1731,VR 공간의 사용자가 음성 대화를 수행하는 경우 아바타의 입모양을 움직여서 실감 있는 모습을 구현할 수 있는 기능을 개발함. 추가로 대화의 내용에 따라서 아바타 얼굴의 표정을 같이 제어할 수 있는 기능을 개발
1732,VR 기반의 가상공간에서 다중사용자간 아바타가 음성을 상호 공유하고 대화할 수 있는 기능을 개발
1733,"VR 기반의 가상공간에서 다중사용자간 아바타가 표시되고, 서로의 위치 및 동작이 동기화되어 표시되며, 아바타 간의 혹은 아바타와 가상의 객체간의 인터랙션 할 수 있는 기능을 개발"
1734,포톤을 비롯하여 가상현실 콘텐츠에서 주로 활용되는 네트워크 기능 구현 방법에 대해서 습득
1735,"VR 기반의 가상공간에서 다중사용자간 아바타가 이미지, 문서, 동영상 데이터를 상호 공유하고 동기화하여 표시할 수 있는 기능을 개발"
1736,"네트워크를 통한 가상현실 콘텐츠 제작을 위한 통신 모듈을 개발하고, 서버-클라이언트 시스템을 구축할 수 있는 기술"
1737,"ARVR 기반의 다중사용자 접속 기반 서비스를 구축하기 위하여 가상 공간에 2명 이상의 사용자가 이동하거나, 가상 객체를 조작하는 것과 같은 이벤트 정보를 동기화 할 수 있는 네트워크 기능에 대한 이해와 기술을 습득"
1738,"ARVR 기반의 다중사용자 접속 기반 서비스를 구축하기 위하여 가상 공간에 2명 이상의 사용자가 접속하여 존재하고 공유할 수 있는 네트워크 기능에 대한 이해와 기술을 습득함 (예, 포톤 클라우드)"
1739,가상현실 콘텐츠 3D 디자인을 위하여 가상현실 UI/UX 콘셉트를 디자인하고 시나리오를 제작하여 사용성을 검증하는 능력
1740,"콘텐츠 제공에 필요한 절차인 디지털 저장과 보존, 저작권 관리, 콘텐츠를 배포하는 업무 수행을 통하여 콘텐츠 소비자가 가상현실 콘텐츠를 감상하거나 활용하게 하는 능력"
1741,"증강현실이 적용되는 실제공간 환경 분석을 기반으로 한 콘텐츠 기획서 및 스토리보드를 작성하고, 콘텐츠 개발 및 운영을 관리할 수 있는 지식"
1742,"사용하고자 하는 디바이스 특징을 고려하고, 사용자의 특성과 연령층을 고려하여 콘텐츠를 통해서 제공하고자 하는 목적과 내용을 기획하는 방법을 습득"
1743,"증강현실콘텐츠의 이용자 인터페이스를 개발하기 위하여 이용자의 요구사항을 분석하고, 제작하고자 하는 콘텐츠의 특성을 고려한 이용자 시나리오를 제작하여 사용성을 검증하는 능력"
1744,"콘텐츠의 특성을 파악하여 데이터베이스 구축, 데이터베이스 인터페이스 관리, 오브젝트 데이터 관리를 수행하는 능력"
1745,"증강현실 콘텐츠, 공간 정보 및 관계 데이터를 저장 및 관리할 수 있도록 데이터베이스 구축 및 시스템 설계, 운영할 수 있는 지식"
1746,증강현실 콘텐츠에서 제공할 수 있는 다양한 기능과 관련 서비스 구축 사례에 대해서 이해하고 관련 기술을 습득
1747,"증강현실 콘텐츠에서 활용될 수 있는 메뉴 디자인, 카메라 인식 이미지, 동영상과 관련된 그래픽을 제작할 수 있는 기술"
1748,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 2D 그래픽을 디자인, 제작, 검증하는 능력"
1749,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 3D 그래픽 디자인, 제작, 검증하는 능력"
1750,모바일 및 글라스 기기에 있어 콘텐츠 제어와 조작을 위한 UI/UX 설계 방법과 절차에 대한 이해와 기술을 습득
1751,증강현실 콘텐츠에 활용될 수 있는 오브젝트를 생성하기 위하여 촬영 및 스캔하여 증강현실 시스템 활용에 최적화 된 오브젝트를 제작할 수 기술
1752,"증강현실 콘텐츠의 내부에서 관리하는 데이터와 외부에서 주고 받는 데이터를 구분 정의하고, 해당 데이터의 흐름을 지원하기 위한 다양한 API와 프로토콜을 이해하고 구현하는 기술을 습득"
1753,"증강현실 오브젝트, 그래픽 및 인식 정합 기술을 활용하여 증강현실 콘텐츠를 프로그래밍 할 수 있는 기술"
1754,"증강현실 콘텐츠에서 주로 활용되는 마커, 이미지, 제스쳐 인식 방법과 이를 구현하기 위한 다양한 라이브러리와 개발 방법에 대해서 이해하고 기능별 구현 기술을 습득"
1755,"증강현실 콘텐츠의 3D 그래픽 부분에 대한 구현 방법과, UI 에셋 구축 및 활용 방안에 대한 기술을 습득"
1756,"증강현실 콘텐츠 이용자에게 몰입감을 제공하기 위해 실제 물리적 공간 또는 물리적 공간내의 객체를 인식하고 그 위에 가상의 2Dㆍ3D 이미지, 영상의 합성을 통해 3차원 공간에 가상물체가 이질감 없이 부드럽게 일치하도록 정합하는 능력"
1757,"실제 물리공간안에 있는 2D, 3D 객체를 인식하여 가상 좌표계를 설정하고 가상 객체를 이미지 및 공간에 배치하여 정합할 수 있는 기술"
1758,"증강현실 콘텐츠에 필요한 기능을 설계하고 증강현실 구현에 필요한 오브젝트 관련 기능, 2Dㆍ3D 인식ㆍ정합 기능을 통합ㆍ개발하여 증강현실 콘텐츠를 구현하는 능력"
1759,"MR 기반의 다중사용자간에 공간을 공유하기 위하여 생성된 앵커를 사용자간에 공유하기 위한 방법과, 위치를 정합하기 위한 기술에 대해서 습득함"
1760,MR 기반의 다중사용자간에 공간을 공유하기 위하여 공간을 인식하고 앵커를 생성하는 기술에 대해서 습득
1761,"증강 이벤트의 구현에 필요한 대상 오브젝트를 디지털로 변환하기 위해 오브젝트를 선정하고, 촬영ㆍ스캔을 종합적으로 수행하는 능력"
1762,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1763,증강현실 콘텐츠 전송 네트워크 서비스를 제공하기 위하여 서비스 시스템을 구성하고 일반적인 네트워크 프로그래밍·네트워크 서버엔진을 활용한 증강현실에 사용되는 네트워크 시스템을 구축 하는 능력
1764,네트워크 모듈개발 또는 엔진을 활용한 네트워크 기반 증강현실 프로그램 개발 및 서버 구축을 할 수 있는 기술
1765,"증강현실 콘텐츠 요구사항을 통한 사용자 시나리오 설계 및 인터페이스를 디자인하고, 제작된 증강현실 콘텐츠의 사용성 평가를 통한 개선 방향 분석을 할 수 있는 지식"
1766,"증강현실이 적용되는 실제공간 환경 분석을 기반으로 한 콘텐츠 기획서 및 스토리보드를 작성하고, 콘텐츠 개발 및 운영을 관리할 수 있는 지식"
1767,가상현실 콘텐츠 시스템 방향 설정 및 기능 도출 능력
1768,증강현실 콘텐츠에서 제공할 수 있는 다양한 기능과 관련 서비스 구축 사례에 대해서 이해하고 관련 기술을 습득
1769,"증강현실 콘텐츠 요구사항을 통한 사용자 시나리오 설계 및 인터페이스를 디자인하고, 제작된 증강현실 콘텐츠의 사용성 평가를 통한 개선 방향 분석을 할 수 있는 지식"
1770,모바일 및 글라스 기기에 있어 콘텐츠 제어와 조작을 위한 UI/UX 설계 방법과 절차에 대한 이해와 기술을 습득
1771,"콘텐츠 제공에 필요한 절차인 디지털 저장과 보존, 저작권 관리, 콘텐츠를 배포하는 업무 수행을 통하여 콘텐츠 소비자가 가상현실 콘텐츠를 감상하거나 활용하게 하는 능력"
1772,"콘텐츠의 특성을 파악하여 데이터베이스 구축, 데이터베이스 인터페이스 관리, 오브젝트 데이터 관리를 수행하는 능력"
1773,"증강현실 콘텐츠, 공간 정보 및 관계 데이터를 저장 및 관리할 수 있도록 데이터베이스 구축 및 시스템 설계, 운영할 수 있는 지식"
1774,가상현실 콘텐츠 3D 디자인을 위하여 가상현실 UI/UX 콘셉트를 디자인하고 시나리오를 제작하여 사용성을 검증하는 능력
1775,"증강현실 콘텐츠에서 활용될 수 있는 메뉴 디자인, 카메라 인식 이미지, 동영상과 관련된 그래픽을 제작할 수 있는 기술"
1776,"증강현실 콘텐츠의 3D 그래픽 부분에 대한 구현 방법과, UI 에셋 구축 및 활용 방안에 대한 기술을 습득"
1777,"가상현실 콘텐츠에 활용되는 캐릭터 및 배경 원화 제작, 모델에 사용되는 캐릭터의 이미지 제작, UI 인터페이스 이미지 및 메뉴 디자인을 제작할 수 있는 기술"
1778,"증강현실콘텐츠의 이용자 인터페이스를 개발하기 위하여 이용자의 요구사항을 분석하고, 제작하고자 하는 콘텐츠의 특성을 고려한 이용자 시나리오를 제작하여 사용성을 검증하는 능력"
1779,"가상현실 콘텐츠에서 사용할 수 있는 배경음향 및 효과음을 녹음, 제작 및 마스터링하고, 방향성을 갖는 음향효과를 제작할 수 있는 기술"
1780,네트워크 모듈개발 또는 엔진을 활용한 네트워크 기반 증강현실 프로그램 개발 및 서버 구축을 할 수 있는 기술
1781,"ARVR 기반의 다중사용자 접속 기반 서비스를 구축하기 위하여 가상 공간에 2명 이상의 사용자가 접속하여 존재하고 공유할 수 있는 네트워크 기능에 대한 이해와 기술을 습득함 (예, 포톤 클라우드)"
1782,"ARVR 기반의 다중사용자 접속 기반 서비스를 구축하기 위하여 가상 공간에 2명 이상의 사용자가 이동하거나, 가상 객체를 조작하는 것과 같은 이벤트 정보를 동기화 할 수 있는 네트워크 기능에 대한 이해와 기술을 습득"
1783,증강현실 콘텐츠 전송 네트워크 서비스를 제공하기 위하여 서비스 시스템을 구성하고 일반적인 네트워크 프로그래밍·네트워크 서버엔진을 활용한 증강현실에 사용되는 네트워크 시스템을 구축 하는 능력
1784,"VR 기반의 가상공간에서 다중사용자간 아바타가 이미지, 문서, 동영상 데이터를 상호 공유하고 동기화하여 표시할 수 있는 기능을 개발"
1785,"네트워크를 통한 가상현실 콘텐츠 제작을 위한 통신 모듈을 개발하고, 서버-클라이언트 시스템을 구축할 수 있는 기술"
1786,포톤을 비롯하여 가상현실 콘텐츠에서 주로 활용되는 네트워크 기능 구현 방법에 대해서 습득
1787,"증강현실 콘텐츠에서 주로 활용되는 마커, 이미지, 제스쳐 인식 방법과 이를 구현하기 위한 다양한 라이브러리와 개발 방법에 대해서 이해하고 기능별 구현 기술을 습득"
1788,증강현실 콘텐츠에 활용될 수 있는 오브젝트를 생성하기 위하여 촬영 및 스캔하여 증강현실 시스템 활용에 최적화 된 오브젝트를 제작할 수 기술
1789,"증강현실 콘텐츠 이용자에게 몰입감을 제공하기 위해 실제 물리적 공간 또는 물리적 공간내의 객체를 인식하고 그 위에 가상의 2Dㆍ3D 이미지, 영상의 합성을 통해 3차원 공간에 가상물체가 이질감 없이 부드럽게 일치하도록 정합하는 능력"
1790,"증강 이벤트의 구현에 필요한 대상 오브젝트를 디지털로 변환하기 위해 오브젝트를 선정하고, 촬영ㆍ스캔을 종합적으로 수행하는 능력"
1791,"증강현실 오브젝트, 그래픽 및 인식 정합 기술을 활용하여 증강현실 콘텐츠를 프로그래밍 할 수 있는 기술"
1792,"실제 물리공간안에 있는 2D, 3D 객체를 인식하여 가상 좌표계를 설정하고 가상 객체를 이미지 및 공간에 배치하여 정합할 수 있는 기술"
1793,"MR 기반의 다중사용자간에 공간을 공유하기 위하여 생성된 앵커를 사용자간에 공유하기 위한 방법과, 위치를 정합하기 위한 기술에 대해서 습득함"
1794,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1795,MR 기반의 다중사용자간에 공간을 공유하기 위하여 공간을 인식하고 앵커를 생성하는 기술에 대해서 습득
1796,"가상현실의 객제, 배경, 이벤트 등 전반적인 콘텐츠를 설계, 프로그래밍하고 외부 API와 네트워크, 데이터 연동 및 멀티플랫폼으로 확장하여 가상현실 콘텐츠를 구현하는 능력"
1797,"증강현실 콘텐츠의 내부에서 관리하는 데이터와 외부에서 주고 받는 데이터를 구분 정의하고, 해당 데이터의 흐름을 지원하기 위한 다양한 API와 프로토콜을 이해하고 구현하는 기술을 습득"
1798,가상현실 콘텐츠에서 활용하려고 하는 추가의 기능 및 라이브러리등의 시스템적 구성에 대해서 콘텐츠 목적에 맞도록 기획하고 설계하는 능력
1799,"가상현실 사용자 경험을 제공하는 콘텐츠를 제작하는데 필요한 알고리즘을 개발하고, 사용자와 상호작용할 수 있는 시청각 요소 처리와 인공지능을 구현하며, 이러한 요소들이 최종 플랫폼에서 기획에 맞는 UX를 제공할 수 있도록 각 요소들을 종합하여 프로그래밍으로 구현하는 능력"
1800,"증강현실 콘텐츠에 필요한 기능을 설계하고 증강현실 구현에 필요한 오브젝트 관련 기능, 2Dㆍ3D 인식ㆍ정합 기능을 통합ㆍ개발하여 증강현실 콘텐츠를 구현하는 능력"
1801,가상현실 시스템 개발에 필요한 개발 SDK 및 API 활용 능력
1802,가상현실에 다양한 기능을 추가하기 위한 유용한 API의 종류와 활용 방법에 대해서 습득
1803,"기획된 콘텐츠에서 사용되는 사용자 인터페이스, 인공지능 알고리즘 개발 및 시나리오에 따른 응용 프로세스를 개발 할 수 있는 기술"
1804,"가상현실 촬영을 위한 기획안을 작성하고, 가상현실 카메라를 선정하여 촬영하고, 촬영된 가상현실 영상을 스티칭하여 360 영상을 제작하는 기술"
1805,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 3D 그래픽 디자인, 제작, 검증하는 능력"
1806,360도 실사 촬영을 통해 가상현실을 구현하는 제작 능력
1807,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 2D 그래픽을 디자인, 제작, 검증하는 능력"
1808,가상현실 콘텐츠 3D 디자인을 위하여 가상현실 UI/UX 콘셉트를 디자인하고 시나리오를 제작하여 사용성을 검증하는 능력
1809,"증강현실 콘텐츠에서 활용될 수 있는 메뉴 디자인, 카메라 인식 이미지, 동영상과 관련된 그래픽을 제작할 수 있는 기술"
1810,"증강현실 콘텐츠의 3D 그래픽 부분에 대한 구현 방법과, UI 에셋 구축 및 활용 방안에 대한 기술을 습득"
1811,"가상현실 콘텐츠에 활용되는 캐릭터 및 배경 원화 제작, 모델에 사용되는 캐릭터의 이미지 제작, UI 인터페이스 이미지 및 메뉴 디자인을 제작할 수 있는 기술"
1812,"증강현실콘텐츠의 이용자 인터페이스를 개발하기 위하여 이용자의 요구사항을 분석하고, 제작하고자 하는 콘텐츠의 특성을 고려한 이용자 시나리오를 제작하여 사용성을 검증하는 능력"
1813,"가상현실 콘텐츠에서 사용할 수 있는 배경음향 및 효과음을 녹음, 제작 및 마스터링하고, 방향성을 갖는 음향효과를 제작할 수 있는 기술"
1814,"3D 기하학적 모델을 제작하고 텍츠쳐 맵 이미지를 제작하고 UV맵핑하여 3D 모델 생성하며 인간, 동물형 모델일 경우 움직임을 고려한 스켈레톤을 리깅할 수 있는 기술"
1815,"VR 기반의 가상공간에서 다중사용자간 아바타가 표시되고, 서로의 위치 및 동작이 동기화되어 표시되며, 아바타 간의 혹은 아바타와 가상의 객체간의 인터랙션 할 수 있는 기능을 개발"
1816,VR 기반의 가상공간에서 다중사용자간 아바타가 음성을 상호 공유하고 대화할 수 있는 기능을 개발
1817,VR 공간의 사용자가 음성 대화를 수행하는 경우 아바타의 입모양을 움직여서 실감 있는 모습을 구현할 수 있는 기능을 개발함. 추가로 대화의 내용에 따라서 아바타 얼굴의 표정을 같이 제어할 수 있는 기능을 개발
1818,가상현실 콘텐츠에서 활용하려고 하는 추가의 기능 및 라이브러리등의 시스템적 구성에 대해서 콘텐츠 목적에 맞도록 기획하고 설계하는 능력
1819,가상현실 콘텐츠 시스템 방향 설정 및 기능 도출 능력
1820,"가상현실의 공간 및 아바타와 3D 객체의 배치 및 인터랙션과 활용하고자 하는 디바이스 특징을 고려하고, 콘텐츠의 목적과 내용을 기획하는 능력"
1821,"이용자 환경과 하드웨어, 개발 소프트웨어를 목적에 맞게 사용하여 콘텐츠 발굴과 스토리보드 작성, 콘텐츠 개발을 하기 위한 증강현실 콘텐츠 전반의 과정에 대해 기획하는 능력"
1822,가상현실 시스템 개발에 필요한 개발 SDK 및 API 활용 능력
1823,가상현실에 다양한 기능을 추가하기 위한 유용한 API의 종류와 활용 방법에 대해서 습득
1824,"콘텐츠 제공에 필요한 절차인 디지털 저장과 보존, 저작권 관리, 콘텐츠를 배포하는 업무 수행을 통하여 콘텐츠 소비자가 가상현실 콘텐츠를 감상하거나 활용하게 하는 능력"
1825,"가상현실 촬영을 위한 기획안을 작성하고, 가상현실 카메라를 선정하여 촬영하고, 촬영된 가상현실 영상을 스티칭하여 360 영상을 제작하는 기술"
1826,가상현실 콘텐츠 3D 디자인을 위하여 가상현실 UI/UX 콘셉트를 디자인하고 시나리오를 제작하여 사용성을 검증하는 능력
1827,"가상현실 콘텐츠에서 사용할 수 있는 배경음향 및 효과음을 녹음, 제작 및 마스터링하고, 방향성을 갖는 음향효과를 제작할 수 있는 기술"
1828,"가상현실 콘텐츠에 활용되는 캐릭터 및 배경 원화 제작, 모델에 사용되는 캐릭터의 이미지 제작, UI 인터페이스 이미지 및 메뉴 디자인을 제작할 수 있는 기술"
1829,VR 공간의 사용자가 음성 대화를 수행하는 경우 아바타의 입모양을 움직여서 실감 있는 모습을 구현할 수 있는 기능을 개발함. 추가로 대화의 내용에 따라서 아바타 얼굴의 표정을 같이 제어할 수 있는 기능을 개발
1830,360도 실사 촬영을 통해 가상현실을 구현하는 제작 능력
1831,"사용하고자 하는 디바이스 특징을 고려하고, 사용자의 특성과 연령층을 고려하여 콘텐츠를 통해서 제공하고자 하는 목적과 내용을 기획하는 방법을 습득"
1832,"증강현실이 적용되는 실제공간 환경 분석을 기반으로 한 콘텐츠 기획서 및 스토리보드를 작성하고, 콘텐츠 개발 및 운영을 관리할 수 있는 지식"
1833,"증강현실콘텐츠의 이용자 인터페이스를 개발하기 위하여 이용자의 요구사항을 분석하고, 제작하고자 하는 콘텐츠의 특성을 고려한 이용자 시나리오를 제작하여 사용성을 검증하는 능력"
1834,모바일 및 글라스 기기에 있어 콘텐츠 제어와 조작을 위한 UI/UX 설계 방법과 절차에 대한 이해와 기술을 습득
1835,"증강현실 콘텐츠 요구사항을 통한 사용자 시나리오 설계 및 인터페이스를 디자인하고, 제작된 증강현실 콘텐츠의 사용성 평가를 통한 개선 방향 분석을 할 수 있는 지식"
1836,가상현실 시스템 개발에 필요한 개발 SDK 및 API 활용 능력
1837,가상현실에 다양한 기능을 추가하기 위한 유용한 API의 종류와 활용 방법에 대해서 습득
1838,"콘텐츠 제공에 필요한 절차인 디지털 저장과 보존, 저작권 관리, 콘텐츠를 배포하는 업무 수행을 통하여 콘텐츠 소비자가 가상현실 콘텐츠를 감상하거나 활용하게 하는 능력"
1839,"증강현실 콘텐츠의 3D 그래픽 부분에 대한 구현 방법과, UI 에셋 구축 및 활용 방안에 대한 기술을 습득"
1840,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 3D 그래픽 디자인, 제작, 검증하는 능력"
1841,"증강현실 콘텐츠에서 활용될 수 있는 메뉴 디자인, 카메라 인식 이미지, 동영상과 관련된 그래픽을 제작할 수 있는 기술"
1842,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 2D 그래픽을 디자인, 제작, 검증하는 능력"
1843,"증강 이벤트의 구현에 필요한 대상 오브젝트를 디지털로 변환하기 위해 오브젝트를 선정하고, 촬영ㆍ스캔을 종합적으로 수행하는 능력"
1844,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1845,"실제 물리공간안에 있는 2D, 3D 객체를 인식하여 가상 좌표계를 설정하고 가상 객체를 이미지 및 공간에 배치하여 정합할 수 있는 기술"
